,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
3776,A,"Agilent Technologies, Inc.",99.6,30707639646.0,,1999.0,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://old.nasdaq.com/symbol/a,
3789,AA,Alcoa Corporation,13.45,2500681713.95,,2016.0,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/aa,
324,AACG,ATA Creativity Global,1.09,12908479.78,11842642.0,,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/aacg,
300,AACQ,Artius Acquisition Inc.,9.93,0.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/aacq,
301,AACQU,Artius Acquisition Inc.,10.47,0.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/aacqu,
302,AACQW,Artius Acquisition Inc.,1.66,0.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/aacqw,
196,AAL,"American Airlines Group, Inc.",13.63,6931688651.69,,,Transportation,Air Freight/Delivery Services,https://old.nasdaq.com/symbol/aal,
6905,AAMC,Altisource Asset Management Corp,21.37,34878340.29,,,Finance,Real Estate,https://old.nasdaq.com/symbol/aamc,
329,AAME,Atlantic American Corporation,2.1,42953402.1,,,Finance,Life Insurance,https://old.nasdaq.com/symbol/aame,
3731,AAN,"Aaron&#39;s,  Inc.",56.75,3810226723.25,,,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aan,
263,AAOI,"Applied Optoelectronics, Inc.",10.43,237532434.09,,2013.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/aaoi,
23,AAON,"AAON, Inc.",57.81,3021247489.56,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aaon,
3757,AAP,Advance Auto Parts Inc,154.76,10699914961.88,,,Consumer Services,Other Specialty Stores,https://old.nasdaq.com/symbol/aap,
258,AAPL,Apple Inc.,110.34,7548375288960.0,,1980.0,Technology,Computer Manufacturing,https://old.nasdaq.com/symbol/aapl,
3845,AAT,"American Assets Trust, Inc.",26.02,1563123346.36,,2011.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/aat,
6903,AAU,"Almaden Minerals, Ltd.",1.02,122763504.54,,2015.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aau,
335,AAWW,Atlas Air Worldwide Holdings,61.11,1597173159.96,,,Transportation,Transportation Services,https://old.nasdaq.com/symbol/aaww,
1940,AAXJ,iShares MSCI All Country Asia ex Japan Index Fund,77.95,0.0,,,,,https://old.nasdaq.com/symbol/aaxj,
375,AAXN,"Axon Enterprise, Inc.",82.83,5257682208.57,,,Capital Goods,Ordnance And Accessories,https://old.nasdaq.com/symbol/aaxn,
3805,AB,AllianceBernstein Holding L.P.,27.81,2678992113.51,,,Finance,Investment Managers,https://old.nasdaq.com/symbol/ab,
3732,ABB,ABB Ltd,26.07,55486600738.14,,,Consumer Durables,Electrical Products,https://old.nasdaq.com/symbol/abb,
3734,ABBV,AbbVie Inc.,89.63,158182003838.98,,2012.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abbv,
3879,ABC,AmerisourceBergen Corporation (Holding Co),96.81,19762967173.95,,,Health Care,Other Pharmaceuticals,https://old.nasdaq.com/symbol/abc,
211,ABCB,Ameris Bancorp,23.63,1641990711.98,,1994.0,Finance,Major Banks,https://old.nasdaq.com/symbol/abcb,
24,ABEO,Abeona Therapeutics Inc.,1.96,166164372.36,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abeo,
3838,ABEV,Ambev S.A.,2.54,39962907546.72,,2013.0,Consumer Non-Durables,Beverages (Production/Distribution),https://old.nasdaq.com/symbol/abev,
3961,ABG,Asbury Automotive Group Inc,101.09,1949968175.43,,2002.0,Consumer Durables,Automotive Aftermarket,https://old.nasdaq.com/symbol/abg,
277,ABIO,"ARCA biopharma, Inc.",5.07,29939789.88,,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/abio,
3742,ABM,ABM Industries Incorporated,38.43,2562785368.29,,,Finance,Diversified Commercial Services,https://old.nasdaq.com/symbol/abm,
25,ABMD,"ABIOMED, Inc.",276.14,12439350928.68,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/abmd,
3919,ABR,Arbor Realty Trust,12.17,1365632635.95,,2004.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/abr,
3920,ABR^A,Arbor Realty Trust,25.2,0.0,,,,,https://old.nasdaq.com/symbol/abr^a,
3921,ABR^B,Arbor Realty Trust,24.63,0.0,,,,,https://old.nasdaq.com/symbol/abr^b,
3922,ABR^C,Arbor Realty Trust,25.49,0.0,,,,,https://old.nasdaq.com/symbol/abr^c,
3733,ABT,Abbott Laboratories,106.66,188844729693.34,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abt,
147,ABTX,"Allegiance Bancshares, Inc.",24.48,500165861.76,,2015.0,Finance,Major Banks,https://old.nasdaq.com/symbol/abtx,
276,ABUS,Arbutus Biopharma Corporation,2.98,250538311.82,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/abus,
3984,AC,"Associated Capital Group, Inc.",37.36,835434867.92,,2015.0,Finance,Investment Bankers/Brokers/Service,https://old.nasdaq.com/symbol/ac,
3931,ACA,"Arcosa, Inc.",45.76,2212034647.68,,2018.0,Capital Goods,Metal Fabrications,https://old.nasdaq.com/symbol/aca,
31,ACAD,ACADIA Pharmaceuticals Inc.,40.76,6474931348.88,,1985.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acad,
32,ACAM,Acamar Partners Acquisition Corp.,10.37,396099281.24,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/acam,
33,ACAMU,Acamar Partners Acquisition Corp.,10.68,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/acamu,
34,ACAMW,Acamar Partners Acquisition Corp.,1.25,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/acamw,
4012,ACB,Aurora Cannabis Inc.,6.89,775608512.64,,2018.0,Consumer Durables,Specialty Chemicals,https://old.nasdaq.com/symbol/acb,
330,ACBI,"Atlantic Capital Bancshares, Inc.",12.03,259911662.76,,,Finance,Major Banks,https://old.nasdaq.com/symbol/acbi,
3847,ACC,American Campus Communities Inc,37.03,5096516329.73,,2004.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acc,
39,ACCD,"Accolade, Inc.",32.44,1594218092.04,,2020.0,,,https://old.nasdaq.com/symbol/accd,
3746,ACCO,Acco Brands Corporation,6.2,585665311.4,,,Consumer Durables,Publishing,https://old.nasdaq.com/symbol/acco,
37,ACCP,"Accelerated Pharma, Inc.",,0.0,,,,,https://old.nasdaq.com/symbol/accp,
3744,ACEL,"Accel Entertainment, Inc.",14.32,1253707064.32,,2017.0,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/acel,
44,ACER,Acer Therapeutics Inc.,2.54,30258336.74,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acer,
63,ACET,"Adicet Bio, Inc.",16.11,496823861.7,,2018.0,,,https://old.nasdaq.com/symbol/acet,
41,ACEVU,ACE Convergence Acquisition Corp.,10.07,0.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/acevu,
280,ACGL,Arch Capital Group Ltd.,30.42,12349676757.6,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/acgl,
281,ACGLO,Arch Capital Group Ltd.,25.99,0.0,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/acglo,
282,ACGLP,Arch Capital Group Ltd.,25.28,0.0,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/acglp,
3832,ACH,Aluminum Corporation of China Limited,5.8,3949260124.4,,2001.0,Basic Industries,Aluminum,https://old.nasdaq.com/symbol/ach,
30,ACHC,"Acadia Healthcare Company, Inc.",29.94,2663556261.9,,,Health Care,Medical Specialities,https://old.nasdaq.com/symbol/achc,
45,ACHV,"Achieve Life Sciences, Inc. ",10.97,39351638.85,,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://old.nasdaq.com/symbol/achv,
3788,ACI,"Albertsons Companies, Inc.",13.31,6284832701.73,,2020.0,Consumer Services,Food Chains,https://old.nasdaq.com/symbol/aci,
28,ACIA,"Acacia Communications, Inc.",68.48,2878842977.92,,2016.0,Technology,Semiconductors,https://old.nasdaq.com/symbol/acia,
27,ACIU,AC Immune SA,8.95,642084500.75,,2016.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aciu,
46,ACIW,"ACI Worldwide, Inc.",26.61,3097110172.38,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aciw,
42,ACLL,"ACell, Inc.",,0.0,,,,,https://old.nasdaq.com/symbol/acll,
372,ACLS,"Axcelis Technologies, Inc.",22.3,746273291.0,,2000.0,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acls,
3762,ACM,AECOM,40.15,6439608272.35,,2007.0,Consumer Services,Military/Government/Technical,https://old.nasdaq.com/symbol/acm,
48,ACMR,"ACM Research, Inc.",70.35,1271570059.2,,2017.0,Technology,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acmr,
3745,ACN,Accenture plc,236.82,150802640536.26,,2001.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/acn,
49,ACNB,ACNB Corporation,21.39,186003996.21,,,Finance,Major Banks,https://old.nasdaq.com/symbol/acnb,
3962,ACND,Ascendant Digital Acquisition Corp.,10.01,0.0,,2020.0,Finance,Business Services,https://old.nasdaq.com/symbol/acnd,
3963,ACND.U,Ascendant Digital Acquisition Corp.,,0.0,,2020.0,,,https://old.nasdaq.com/symbol/acnd.u,
3964,ACND.WS,Ascendant Digital Acquisition Corp.,,0.0,,,,,https://old.nasdaq.com/symbol/acnd.ws,
50,ACOR,"Acorda Therapeutics, Inc.",0.5804,27840727.6092,,2006.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/acor,
3738,ACP,Aberdeen Income Credit Strategies Fund,10.09,175889848.64,,2011.0,,,https://old.nasdaq.com/symbol/acp,
3936,ACRE,Ares Commercial Real Estate Corporation,10.16,339770079.92,,2012.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/acre,
47,ACRS,"Aclaris Therapeutics, Inc.",2.54,108824684.56,,2015.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrs,
43,ACRX,"AcelRx Pharmaceuticals, Inc.",1.37,123744081.39,,2011.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acrx,
35,ACST,"Acasti Pharma, Inc.",0.1948,18874666.2076,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/acst,
79,ACT,AdvisorShares Vice ETF,26.4469,0.0,,,,,https://old.nasdaq.com/symbol/act,
29,ACTG,Acacia Research Corporation,3.8,187261921.4,,,Miscellaneous,Multi-Sector Companies,https://old.nasdaq.com/symbol/actg,
6895,ACU,Acme United Corporation.,22.45,74902471.85,,1988.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/acu,
3812,ACV,AllianzGI Diversified Income & Convertible Fund,25.8,267131136.0,,2015.0,,,https://old.nasdaq.com/symbol/acv,
1939,ACWI,iShares MSCI ACWI Index Fund,80.66,0.0,,,,,https://old.nasdaq.com/symbol/acwi,
1938,ACWX,iShares MSCI ACWI ex US Index Fund,47.2,0.0,,,,,https://old.nasdaq.com/symbol/acwx,
6898,ACY,AeroCentury Corp.,2.23,3447321.32,,,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/acy,
56,ADAP,Adaptimmune Therapeutics plc,10.75,1459479522.75,135765537.0,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adap,
66,ADBE,Adobe Inc.,474.3,227505222857.7,,1986.0,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/adbe,
3778,ADC,Agree Realty Corporation,66.54,3583247669.28,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/adc,
3752,ADCT,ADC Therapeutics SA,45.04,3185041974.08,,2020.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adct,
69,ADES,"Advanced Emissions Solutions, Inc.",4.01,74421217.07,,,Basic Industries,Major Chemicals,https://old.nasdaq.com/symbol/ades,
227,ADI,"Analog Devices, Inc.",115.49,42680457490.83,,,Technology,Semiconductors,https://old.nasdaq.com/symbol/adi,
61,ADIL,"Adial Pharmaceuticals, Inc",1.3,17629244.1,,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adil,
62,ADILW,"Adial Pharmaceuticals, Inc",0.3,0.0,,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adilw,
3927,ADM,Archer-Daniels-Midland Company,47.77,26543251887.53,,,Consumer Non-Durables,Packaged Foods,https://old.nasdaq.com/symbol/adm,
65,ADMA,ADMA Biologics Inc,2.41,208103454.21,,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adma,
54,ADMP,Adamis Pharmaceuticals Corporation,0.79,59187404.35,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/admp,
53,ADMS,"Adamas Pharmaceuticals, Inc.",4.61,130379282.4,,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adms,
3754,ADNT,Adient plc,17.7,1661753543.7,,2016.0,Capital Goods,Auto Parts:O.E.M.,https://old.nasdaq.com/symbol/adnt,
354,ADP,"Automatic Data Processing, Inc.",137.87,59279330387.35,,,Technology,EDP Services,https://old.nasdaq.com/symbol/adp,
57,ADPT,Adaptive Biotechnologies Corporation,44.87,6093064575.36,,2019.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/adpt,
1792,ADRE,Invesco BLDRS Emerging Markets 50 ADR Index Fund,46.9451,0.0,,,,,https://old.nasdaq.com/symbol/adre,
68,ADRO,"Aduro Biotech, Inc.",2.49,201836922.45,,2015.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adro,
3802,ADS,Alliance Data Systems Corporation,47.5,2266463497.5,,2001.0,Miscellaneous,Business Services,https://old.nasdaq.com/symbol/ads,
352,ADSK,"Autodesk, Inc.",226.97,49769796165.51,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/adsk,
3758,ADSW,"Advanced Disposal Services, Inc.",30.25,2745435156.75,,2016.0,Public Utilities,Environmental Services,https://old.nasdaq.com/symbol/adsw,
3755,ADT,ADT Inc.,9.17,7064876194.53,,2018.0,Consumer Services,Diversified Commercial Services,https://old.nasdaq.com/symbol/adt,
67,ADTN,"ADTRAN, Inc.",10.35,496364803.2,,1994.0,Public Utilities,Telecommunications Equipment,https://old.nasdaq.com/symbol/adtn,
64,ADTX,"ADiTx Therapeutics, Inc.",1.98,18727616.16,,2020.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adtx,
59,ADUS,Addus HomeCare Corporation,96.08,1518005775.52,,2009.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/adus,
73,ADVM,"Adverum Biotechnologies, Inc.",12.83,1248765082.33,,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/advm,
3750,ADX,"Adams Diversified Equity Fund, Inc.",16.13,1753062790.36,,,,,https://old.nasdaq.com/symbol/adx,
58,ADXN,Addex Therapeutics Ltd,13.5193,3753119.9116,277612.0,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adxn,
72,ADXS,"Advaxis, Inc.",0.4336,28716232.2928,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/adxs,
6897,AE,"Adams Resources & Energy, Inc.",21.1,89512192.4,,,Energy,Oil Refining/Marketing,https://old.nasdaq.com/symbol/ae,
3764,AEB,Aegon NV,24.82,0.0,,,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeb,
3841,AEE,Ameren Corporation,77.62,19178313040.98,,,Public Utilities,Power Generation,https://old.nasdaq.com/symbol/aee,
6893,AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",6.72,341051948.16,,,,,https://old.nasdaq.com/symbol/aef,
3763,AEFC,Aegon Funding Company LLC,25.65,0.0,,2019.0,Finance,Life Insurance,https://old.nasdaq.com/symbol/aefc,
3765,AEG,Aegon NV,2.61,5357150332.2,,,Finance,Life Insurance,https://old.nasdaq.com/symbol/aeg,
80,AEGN,Aegion Corp,15.03,462493706.13,,,Basic Industries,Water Supply,https://old.nasdaq.com/symbol/aegn,
82,AEHR,Aehr Test Systems,1.51,35169630.46,,1997.0,Capital Goods,Electrical Products,https://old.nasdaq.com/symbol/aehr,
70,AEIS,"Advanced Energy Industries, Inc.",60.03,2301000265.17,,1995.0,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/aeis,
3852,AEL,American Equity Investment Life Holding Company,21.9,2013804688.8,,2003.0,Finance,Life Insurance,https://old.nasdaq.com/symbol/ael,
3853,AEL^A,American Equity Investment Life Holding Company,23.86,0.0,,,,,https://old.nasdaq.com/symbol/ael^a,
3854,AEL^B,American Equity Investment Life Holding Company,25.31,0.0,,,,,https://old.nasdaq.com/symbol/ael^b,
3777,AEM,Agnico Eagle Mines Limited,84.13,20325964650.06,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/aem,
89,AEMD,"Aethlon Medical, Inc.",1.48,17864181.64,,,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/aemd,
3848,AEO,"American Eagle Outfitters, Inc.",14.89,2473437206.87,,,Consumer Services,Clothing/Shoe/Accessory Stores,https://old.nasdaq.com/symbol/aeo,
3849,AEP,"American Electric Power Company, Inc.",80.04,39712281097.44,,,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/aep,
3850,AEP^B,"American Electric Power Company, Inc.",47.87,0.0,,,,,https://old.nasdaq.com/symbol/aep^b,
3851,AEP^C,"American Electric Power Company, Inc.",48.56,0.0,,,,,https://old.nasdaq.com/symbol/aep^c,
3766,AER,Aercap Holdings N.V.,28.37,3678816853.71,,2006.0,Technology,Diversified Commercial Services,https://old.nasdaq.com/symbol/aer,
84,AERI,"Aerie Pharmaceuticals, Inc.",11.79,548405129.7,,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/aeri,
6519,AES,The AES Corporation,18.43,12258367057.64,,,Basic Industries,Electric Utilities: Central,https://old.nasdaq.com/symbol/aes,
152,AESE,"Allied Esports Entertainment, Inc.",1.55,49542676.35,,2017.0,Consumer Services,Services-Misc. Amusement & Recreation,https://old.nasdaq.com/symbol/aese,
60,AEY,"ADDvantage Technologies Group, Inc.",2.07,24403105.8,,,Consumer Services,Office Equipment/Supplies/Services,https://old.nasdaq.com/symbol/aey,
348,AEYE,"AudioEye, Inc.",14.97,145390137.0,,,Technology,Computer Software: Prepackaged Software,https://old.nasdaq.com/symbol/aeye,
88,AEZS,AEterna Zentaris Inc.,0.3711,23260033.2843,,,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/aezs,
3803,AFB,Alliance National Municipal Income Fund Inc,13.86,398404812.96,,2002.0,,,https://old.nasdaq.com/symbol/afb,
3935,AFC,Ares Capital Corporation,26.08,0.0,,,,,https://old.nasdaq.com/symbol/afc,
3856,AFG,"American Financial Group, Inc.",66.92,5925105365.76,,,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afg,
3857,AFGB,"American Financial Group, Inc.",27.6,0.0,,2019.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgb,
3858,AFGC,"American Financial Group, Inc.",26.71,26658182.6,,2019.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgc,
3859,AFGD,"American Financial Group, Inc.",27.26,0.0,,2020.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgd,
3860,AFGH,"American Financial Group, Inc.",25.3,0.0,,2015.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/afgh,
3955,AFI,"Armstrong Flooring, Inc.",4.4,95014145.6,,2016.0,Consumer Non-Durables,Plastic Products,https://old.nasdaq.com/symbol/afi,
52,AFIB,"Acutus Medical, Inc.",34.51,946638081.34,,2020.0,Health Care,Medical/Dental Instruments,https://old.nasdaq.com/symbol/afib,
197,AFIN,"American Finance Trust, Inc.",6.86,744500255.24,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/afin,
198,AFINP,"American Finance Trust, Inc.",24.11,0.0,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/afinp,
3770,AFL,Aflac Incorporated,37.62,26819763660.36,,,Finance,Accident &Health Insurance,https://old.nasdaq.com/symbol/afl,
90,AFMD,Affimed N.V.,3.7,312624673.5,,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/afmd,
3911,AFT,Apollo Senior Floating Rate Fund Inc.,12.95,201671139.95,,2011.0,,,https://old.nasdaq.com/symbol/aft,
91,AFYA,Afya Limited,24.46,2274896307.3,,2019.0,Consumer Services,Other Consumer Services,https://old.nasdaq.com/symbol/afya,
4891,AG,First Majestic Silver Corp.,12.16,2607438582.4,,,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/ag,
92,AGBA,AGBA Acquisition Limited,10.35,61841250.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/agba,
93,AGBAR,AGBA Acquisition Limited,0.2389,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/agbar,
94,AGBAU,AGBA Acquisition Limited,10.7,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/agbau,
95,AGBAW,AGBA Acquisition Limited,0.46,0.0,,2019.0,Finance,Business Services,https://old.nasdaq.com/symbol/agbaw,
3775,AGCO,AGCO Corporation,76.26,5711602971.96,,,Capital Goods,Industrial Machinery/Components,https://old.nasdaq.com/symbol/agco,
3736,AGD,Aberdeen Global Dynamic Dividend Fund,9.61,120601483.02,,2006.0,,,https://old.nasdaq.com/symbol/agd,
6900,AGE,"AgeX Therapeutics, Inc.",0.915,34483567.485,,2018.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/age,
96,AGEN,Agenus Inc.,5.19,952067369.07,,2000.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/agen,
107,AGFS,"AgroFresh Solutions, Inc.",3.03,160211519.67,,2014.0,Finance,Business Services,https://old.nasdaq.com/symbol/agfs,
3784,AGI,Alamos Gold Inc.,9.65,3777308831.55,,2015.0,Basic Industries,Precious Metals,https://old.nasdaq.com/symbol/agi,
99,AGIO,"Agios Pharmaceuticals, Inc.",38.67,2672486948.28,,2013.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agio,
81,AGLE,"Aeglea BioTherapeutics, Inc.",7.77,346540811.19,,2016.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agle,
4858,AGM,Federal Agricultural Mortgage Corporation,66.02,708581766.7,,,Finance,Finance Companies,https://old.nasdaq.com/symbol/agm,
4859,AGM.A,Federal Agricultural Mortgage Corporation,,0.0,,,,,https://old.nasdaq.com/symbol/agm.a,
100,AGMH,AGM Group Holdings Inc.,15.2362,440189892.191,,2018.0,Technology,EDP Services,https://old.nasdaq.com/symbol/agmh,
4860,AGM^A,Federal Agricultural Mortgage Corporation,25.24,0.0,,,,,https://old.nasdaq.com/symbol/agm^a,
4861,AGM^C,Federal Agricultural Mortgage Corporation,27.57,0.0,,,,,https://old.nasdaq.com/symbol/agm^c,
4862,AGM^D,Federal Agricultural Mortgage Corporation,26.67,0.0,,,,,https://old.nasdaq.com/symbol/agm^d,
4863,AGM^E,Federal Agricultural Mortgage Corporation,26.7499,0.0,,,,,https://old.nasdaq.com/symbol/agm^e,
4864,AGM^F,Federal Agricultural Mortgage Corporation,26.04,0.0,,,,,https://old.nasdaq.com/symbol/agm^f,
101,AGNC,AGNC Investment Corp.,14.6,8110550171.0,,2008.0,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agnc,
102,AGNCM,AGNC Investment Corp.,23.43,0.0,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncm,
103,AGNCN,AGNC Investment Corp.,24.34,0.0,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncn,
104,AGNCO,AGNC Investment Corp.,23.46,0.0,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agnco,
105,AGNCP,AGNC Investment Corp.,22.8798,0.0,,,Consumer Services,Real Estate Investment Trusts,https://old.nasdaq.com/symbol/agncp,
3987,AGO,Assured Guaranty Ltd.,19.73,1648141821.03,,2004.0,Finance,Property-Casualty Insurers,https://old.nasdaq.com/symbol/ago,
3988,AGO^B,Assured Guaranty Ltd.,26.9925,0.0,,,,,https://old.nasdaq.com/symbol/ago^b,
3989,AGO^E,Assured Guaranty Ltd.,26.28,0.0,,,,,https://old.nasdaq.com/symbol/ago^e,
3990,AGO^F,Assured Guaranty Ltd.,25.745,0.0,,,,,https://old.nasdaq.com/symbol/ago^f,
4019,AGR,"Avangrid, Inc.",49.43,15274141123.55,,2015.0,Public Utilities,Electric Utilities: Central,https://old.nasdaq.com/symbol/agr,
3753,AGRO,Adecoagro S.A.,5.01,590335038.45,,2011.0,Consumer Non-Durables,Farming/Seeds/Milling,https://old.nasdaq.com/symbol/agro,
97,AGRX,"Agile Therapeutics, Inc.",3.69,322128162.45,,2014.0,Health Care,Major Pharmaceuticals,https://old.nasdaq.com/symbol/agrx,
6014,AGS,"PlayAGS, Inc.",4.22,150308120.36,,2018.0,Consumer Durables,Miscellaneous manufacturing industries,https://old.nasdaq.com/symbol/ags,
260,AGTC,Applied Genetic Technologies Corporation,5.08,131028440.0,,2014.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://old.nasdaq.com/symbol/agtc,
3940,AGX,"Argan, Inc.",45.94,719878375.86,,,Basic Industries,Engineering & Construction,https://old.nasdaq.com/symbol/agx,
98,AGYS,"Agilysys, Inc.",26.15,616865895.7,,,Technology,EDP Services,https://old.nasdaq.com/symbol/agys,
3649,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,47.045,0.0,,,,,https://old.nasdaq.com/symbol/agzd,
161,AHAC,Alpha Healthcare Acquisition Corp.,,0.0,,,,,https://old.nasdaq.com/symbol/ahac,
162,AHACU,Alpha Healthcare Acquisition Corp.,,0.0,,,,,https://old.nasdaq.com/symbol/ahacu,
3727,AHC,A.H. Belo Corporation,1.48,35341668.88,,,Consumer Services,Newspapers/Magazines,https://old.nasdaq.com/symbol/ahc,
55,AHCO,AdaptHealth Corp. ,22.88,1929079197.76,,2018.0,Health Care,Medical/Nursing Services,https://old.nasdaq.com/symbol/ahco,
3951,AHH,"Armada Hoffler Properties, Inc.",10.06,789205501.06,,2013.0,Finance,Real Estate,https://old.nasdaq.com/symbol/ahh,
3952,AHH^A,"Armada Hoffler Properties, Inc.",24.2,0.0,,,,,https://old.nasdaq.com/symbol/ahh^a,
357,AHI,"Avadim Health, Inc.",,0.0,,,Consumer Non-Durables,Package Goods/Cosmetics,https://old.nasdaq.com/symbol/ahi,
3975,AHL^C,Aspen Insurance Holdings Limited,24.94,0.0,,,,,https://old.nasdaq.com/symbol/ahl^c,
